Home Team Players,Home Team Rating,Home Team Attack Rating,Home Team Midfield Rating,Home Team Defence Rating,Away Team Players,Away Team Rating,Away Team Attack Rating,Away Team Midfield Rating,Away Team Defence Rating
14,750.6555556,142.8444444,253.1666667,354.6444444,14,907.1444444,166,329.2777778,"411.866666667
"
14,856.4777778,182.6444444,272.8777778,400.9555556,14,776.4888889,144.2888889,274.2,"358
"
14,814.0888889,231.3888889,219,363.7,14,835.4222222,156.7111111,282.7111111,"396
"
14,836.3666667,250.7777778,220.3666667,365.2222222,14,817.4333333,76.66666667,291.2444444,"449.522222222
"
14,934.4444444,171,356.4444444,407,14,809.2333333,129.3333333,315.9,"364
"
14,819.8444444,93.62222222,356.2222222,370,14,859.1333333,230.6444444,242.4888889,"386
"
14,832.9444444,151.0333333,296.0333333,385.8777778,14,882.1777778,251.3222222,227.8555556,"403
"
14,804.2222222,87.62222222,361.2555556,355.3444444,14,782.3333333,263.2333333,163.1666667,"355.933333333
"
14,866.6555556,148,316.9222222,401.7333333,13,825.3666667,206.5,183,"435.866666667
"
14,785.4777778,145.6111111,349.5,290.3666667,14,797.1444444,82.6,356.5444444,"358
"
14,873.1333333,86.68888889,379.4444444,407,14,835.5222222,133.6555556,241.7,"460.166666667
"
14,820.8444444,72.64444444,387.2,361,14,755.1333333,216.8,269.2666667,"269.066666667
"
14,799.3777778,66.95555556,437.7777778,294.6444444,14,802.6,246.1,240,"316.5
"
14,798.3555556,88.93333333,349.4222222,360,13,875.7111111,240.3777778,243.3333333,"392
"
14,917.2,121,351.2,445,12,810,55.96666667,313.0333333,"441
"
14,905.0888889,190.3,299.5333333,415.2555556,13,807.4444444,152.0555556,359.3888889,"296
"
13,831.7333333,237.9111111,153.1555556,440.6666667,14,980.6666667,110.3777778,407.5555556,"462.733333333
"
14,757.8,91.4,212.5333333,453.8666667,14,753.2777778,221.3333333,199.6111111,"332.333333333
"
14,874.3222222,188.4777778,279.8444444,406,14,800.3222222,72.55555556,366.7666667,"361
"
14,798.7888889,150,285.1888889,363.6,14,769.3111111,178.6888889,239.8222222,"350.8
"
14,792.6,58.33333333,370.2666667,364,14,773.6888889,131.9888889,225.8111111,"415.888888889
"
14,822.7,286.7222222,160.6888889,375.2888889,14,814.8222222,118.2888889,318.5333333,"378
"
13,812.0666667,150,298.0666667,364,14,928.5666667,157.6444444,331.5666667,"439.355555556
"
14,868.8888889,155.2,313.6888889,400,14,857.5777778,110.8,356.3777778,"390.4
"
14,798.8,145.6,293.2,360,14,901.7777778,178.6888889,316.0888889,"407
"
13,902.0888889,305.5333333,211.5555556,385,14,910.1111111,102,387.4444444,"420.666666667
"
14,789.6,72,356.6,361,14,766.4777778,143.1777778,276.1,"347.2
"
14,905.5444444,195.3333333,304.2111111,406,14,842.8888889,99.86666667,372.0222222,"371
"
14,831.1666667,149,232.1666667,450,14,775.7222222,234.7111111,218.0888889,"322.922222222
"
13,801.3888889,97.34444444,312.8444444,391.2,14,853.9333333,148,323.8777778,"382.055555556
"
14,825,305.0444444,148.3333333,371.6222222,14,792.6555556,161.0777778,278.6666667,"352.911111111
"
14,764.7777778,137.1,300.6777778,327,14,798.2777778,170.4,291.2,"336.677777778
"
14,839.1111111,203.8444444,257.2666667,378,14,889.4777778,242.4777778,234,"413.0
"
14,869,145.5777778,313.5555556,409.8666667,14,829.2222222,160.0222222,318.2,"351
"
14,850.0555556,214.8888889,272.2222222,362.9444444,14,856.7888889,200.6666667,291.5777778,"364.544444444
"
14,774.9666667,199.3888889,296.5777778,279,14,881.7888889,136.0111111,345.7777778,"400
"
13,813.6,74.6,368,371,13,876.3,236.4,239.8,"400.1
"
14,866.9777778,151.2888889,315.6888889,400,14,816.6666667,72.53333333,365.2666667,"378.866666667
"
13,799.0555556,149.2777778,282.7777778,367,14,812.6333333,155.6888889,278.9444444,"378
"
14,784.5333333,197.6333333,217.4,369.5,14,778.0333333,146.8333333,298.0666667,"333.133333333
"
14,834.2,199.9555556,291.8,342.4444444,13,844.8,307.3,150,"387.5
"
14,840.0111111,163.8333333,307.1777778,369,14,799.7777778,71.91111111,355.6,"372.266666667
"
14,835.7222222,149.7111111,314.0111111,372,13,821.2666667,73,369.7333333,"378.533333333
"
14,843.1111111,220.8333333,237.2777778,385,14,783.3555556,135.3555556,297.4444444,"350.555555556
"
14,905.1,158.1,340,407,13,799.0666667,89.26666667,348.8,"361
"
13,890.5333333,143.8,329.5333333,417.2,14,825.2666667,81.46666667,374.8,"369
"
14,935.5,286.4333333,206.6888889,442.3777778,14,829.6666667,90.51111111,331.1555556,"408
"
14,923.8333333,308.9666667,222.8666667,392,14,849.3555556,84.22222222,356.1333333,"409
"
14,754.5888889,84.33333333,298.7555556,371.5,13,812.6444444,151.4888889,219.7333333,"441.422222222
"
14,827.3666667,179.0333333,198.3333333,450,14,831.8333333,98,362.8333333,"371
"
14,828.5333333,228.7333333,236.7,363.1,14,831.2777778,214,236.6444444,"380.633333333
"
13,828.7666667,131,324.7666667,373,14,805.3,143.5111111,299.4444444,"362.344444444
"
12,799.4444444,72,367.4444444,360,13,866.9555556,248.2444444,233.7111111,"385
"
14,795.4888889,121.4222222,314.6,359.4666667,14,828.9444444,148,330.4666667,"350.477777778
"
14,843.6444444,148,310.3777778,385.2666667,13,800.4,14.8,370,"415.6
"
14,837.0555556,151.2666667,316.7888889,369,13,848.7222222,286.8888889,165.4444444,"396.388888889
"
14,798.4888889,159.2444444,254.2444444,385,14,866.8555556,157.6777778,312.1777778,"397
"
14,890.8222222,82,364.1555556,444.6666667,14,755.6666667,65.86666667,343.0666667,"346.733333333
"
13,778.0777778,145.6777778,143.7333333,488.6666667,14,850.0888889,182,187,"481.088888889
"
14,771.4,206.2666667,208.1333333,357,14,781.0777778,84.24444444,328.4,"368.433333333
"
14,753.2222222,202.7222222,209,341.5,14,796.7888889,262.8666667,149.9222222,"384
"
13,837.7333333,149.3888889,320.3444444,368,14,955.3111111,169,439.0222222,"347.288888889
"
