MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9400,ARS,0,0,CHE,61.4,38.6,2,4,7,13,760,532,544,340,17,17,42,36,8,6,3,2,11,889.0,247.0,243.0,399.0,14,916.204,95.17,397.536,423.498
9399,SWAN,1,2,EVE,54.5,45.5,3,6,13,14,699,611,503,408,18,17,29,32,4,8,3,1,14,828.535,314.172,143.363,371.0,13,855.67,166.975,306.695,382.0
9398,SOT,2,3,TOT,57.2,42.8,5,3,12,13,781,621,517,378,30,26,36,27,2,5,3,3,14,827.95,197.0,348.95,282.0,14,806.888,210.768,203.928,392.192
9391,CRY,0,3,NUFC,33.1,66.9,4,6,9,13,491,813,283,583,26,26,22,24,3,7,4,4,14,740.016,146.712,191.368,401.936,13,847.617,78.33,315.193,454.094
9392,FUL,2,4,MCFC,46.1,53.9,5,10,12,17,670,735,460,540,18,14,29,32,4,4,4,2,14,796.396,66.348,344.198,385.85,14,946.747,136.452,405.295,405.0
9394,MUFC,3,1,WHU,61.8,38.2,8,1,21,4,704,463,519,309,11,12,30,21,8,2,3,2,14,903.511,166.6,242.591,494.32,14,786.089,94.017,254.816,437.256
9395,STK,2,1,AVL,53.5,46.5,2,4,12,14,517,455,288,256,16,22,32,19,6,7,3,3,13,831.7,76.0,382.7,373.0,13,784.704,153.1,259.004,372.6
9396,SUN,0,0,NOR,58.8,41.2,4,5,18,14,685,532,489,325,12,25,14,33,6,7,1,1,14,831.344,78.744,369.7,382.9,12,817.856,147.856,297.0,373.0
9397,WBA,1,1,HUL,60.4,39.6,3,3,14,6,710,511,499,330,16,17,21,17,9,2,1,2,14,849.361,204.059,296.5,348.802,13,800.534,214.986,225.548,360.0
9393,LIV,3,1,CAR,68.9,31.1,7,3,27,10,878,484,638,266,21,28,34,28,9,5,2,1,13,854.542,242.682,235.0,376.86,14,804.57,126.627,295.269,382.674
9390,TOT,0,5,LIV,43.2,56.8,0,10,9,21,589,714,361,497,21,23,31,34,2,9,0,4,14,815.629,107.116,411.905,296.608,13,867.857,249.792,226.065,392.0
9388,AVL,0,3,MUFC,44,56,6,5,17,14,588,730,394,511,21,15,17,38,3,4,2,2,14,797.7,162.052,260.596,375.052,14,833.874,159.171,226.133,448.57
9389,NOR,1,1,SWAN,37.5,62.5,3,2,16,10,563,826,348,608,19,23,15,44,8,5,1,1,13,819.354,147.532,298.822,373.0,14,819.395,313.018,125.377,381.0
9384,HUL,0,0,STK,46.2,53.8,4,2,13,11,655,734,429,507,15,22,32,53,7,5,2,4,14,779.952,209.592,221.549,348.811,14,811.997,151.0,301.31,359.687
9381,CAR,1,0,WBA,48.2,51.8,3,2,11,12,521,549,307,333,13,24,42,32,8,6,5,9,14,801.329,148.785,295.544,357.0,14,780.955,153.43,277.525,350.0
9382,CHE,2,1,CRY,69.7,30.3,7,5,16,10,843,487,606,252,24,33,36,35,3,1,2,2,14,884.41,147.437,326.973,410.0,14,713.29,146.89,208.4,358.0
9383,EVE,4,1,FUL,57.5,42.5,7,3,22,16,730,594,529,393,16,21,18,25,12,2,0,3,13,870.626,211.036,257.649,401.941,14,770.38,73.466,340.914,356.0
9386,NUFC,1,1,SOT,39.8,60.2,5,3,16,8,569,714,319,507,21,22,28,35,11,3,7,6,14,867.494,151.932,313.452,402.11,14,731.909,77.551,261.358,393.0
9387,WHU,0,0,SUN,41.3,58.7,2,6,11,19,522,636,296,419,22,22,34,15,2,9,0,1,14,762.899,75.024,257.747,430.128,14,812.353,74.378,370.153,367.822
9385,MCFC,6,3,ARS,52.4,47.6,7,6,22,12,694,657,479,419,22,22,27,29,8,8,2,4,14,962.019,131.928,428.091,402.0,14,853.114,165.376,319.12,368.618
9380,SWAN,1,1,HUL,65.7,34.3,2,2,11,9,921,591,713,376,17,26,19,50,12,1,2,2,13,817.936,276.736,170.2,371.0,12,794.0,216.0,218.0,360.0
9378,ARS,1,1,EVE,44.1,55.9,5,4,11,12,621,731,403,515,20,14,28,27,3,2,2,1,14,885.292,185.764,306.528,393.0,14,832.735,158.661,292.074,382.0
9379,FUL,2,0,AVL,52.9,47.1,10,2,22,10,661,618,428,375,20,22,43,53,4,7,2,1,13,782.57,72.512,354.058,356.0,14,774.8,219.7,196.7,358.4
9376,SUN,1,2,TOT,47,53,4,5,11,22,618,713,419,488,28,20,13,25,4,10,2,1,14,814.064,150.0,312.712,351.352,14,845.754,68.484,408.27,369.0
9371,CRY,2,0,CAR,43.7,56.3,5,2,19,10,544,609,285,381,22,13,53,58,8,3,2,1,13,742.393,147.0,283.799,311.594,14,760.285,172.789,217.392,370.104
9372,LIV,4,1,WHU,63.9,36.1,9,1,32,8,812,530,540,289,18,28,39,34,8,4,2,1,14,869.086,233.2,237.626,398.26,14,834.314,138.0,328.908,367.406
9374,SOT,1,1,MCFC,54.7,45.3,4,3,15,13,681,599,431,357,20,28,38,32,5,4,6,2,14,826.88,96.752,305.784,424.344,14,918.01,171.0,347.01,400.0
9375,STK,3,2,CHE,42.9,57.1,3,6,9,15,566,725,361,512,21,14,21,30,5,2,2,0,14,913.898,136.0,409.898,368.0,14,924.742,196.52,320.222,408.0
