Team,Name,Rating,Position
Chelsea,Thibaut Courtois,86,GK
Chelsea,Branislav Ivanović,81,RB
Chelsea,Gary Cahill,81,CB
Chelsea,John Terry,83,CB
Chelsea,Azpilicueta,81,LB
Chelsea,Cesc Fàbregas,85,CM
Chelsea,Nemanja Matić,83,CD
Chelsea,Willian,82,RM
Chelsea,Eden Hazard,88,LM
Chelsea,Oscar,84,CA
Chelsea,Diego Costa,85,ST
Chelsea,Juan Cuadrado,82,RM
Chelsea,John Obi Mikel,78,CD
Chelsea,Filipe Luís,81,LB
Chelsea,Kurt Zouma,75,CB
Chelsea,Jamal Blackman,58,GK
Chelsea,Loïc Rémy,80,ST
Chelsea,Ramires,81,CD
Chelsea,Jeremie Boga,59,CA
Chelsea,Dominic Solanke,61,ST
Chelsea,Andreas Christensen,58,CB
Chelsea,Nathan Aké,67,LB
Chelsea,Tomáš Kalas,72,CB
Chelsea,Kasey Palmer,63,CA
Chelsea,Petr Čech,85,GK
Chelsea,Isaiah Brown,61,ST
Chelsea,Charly Musonda,58,CA
Chelsea,Ruben Loftus-Cheek,58,CM
Chelsea,Ola Aina,57,RB
Chelsea,Islam Feruz,57,ST
Chelsea,Alex Davey,55,CB
Chelsea,Tika Musonda,54,CD
Chelsea,Alex Kiwomya,51,RM
Manchester City,Joe Hart,83,GK
Manchester City,Pablo Zabaleta,83,RB
Manchester City,Vincent Kompany,86,CB
Manchester City,Martín Demichelis,79,CB
Manchester City,Aleksandar Kolarov,78,LB
Manchester City,Yaya Touré,85,CM
Manchester City,Fernandinho,81,CM
Manchester City,Jesús Navas,81,RM
Manchester City,Samir Nasri,84,LM
Manchester City,David Silva,87,CA
Manchester City,Sergio Agüero,87,ST
Manchester City,James Milner,79,RM
Manchester City,Fernando,78,CD
Manchester City,Bacary Sagna,79,RB
Manchester City,Eliaquim Mangala,79,CB
Manchester City,Willy Caballero,78,GK
Manchester City,Edin Džeko,83,ST
Manchester City,Wilfried Bony,81,ST
Manchester City,Stevan Jovetić,81,ST
Manchester City,Gaël Clichy,78,LB
Manchester City,Dedryck Boyata,67,RB
Manchester City,Pozo,63,CF
Manchester City,Richard Wright,62,GK
Manchester City,Brandon Barker,59,LM
Manchester City,Angus Gunn,58,GK
